symbol;asOfDate;EBIT;InvestedCapital;roic;MarketCap;CashAndCashEquivalents;totalDebt;preferredequity;faustmannRatio;industry
A;2025-04-30;1482000000.0;9631000000.0;0.1308693248883812;34374705152;1486000000.0;;0.0;;Diagnostics & Research
AA;2025-03-31;1464000000.0;8463000000.0;0.1186089103154909;7899100160;1202000000.0;;0.0;;Aluminum
AAL;2025-03-31;2784000000.0;24934000000.0;0.0832246731370819;7637148672;835000000.0;51731000000.0;0.0;-0.2941664229258146;Airlines
AAON;2025-03-31;197734000.0;1068269000.0;0.1529129927143818;6130121216;994000.0;283228000.0;0.0;7.79878913279943;Building Products & Equipment
AAP;2025-03-31;-845065000.0;3987000000.0;-0.1324477771733132;3338455040;1672000000.0;;0.0;;Auto Parts
AAPL;2025-03-31;127364000000.0;164982000000.0;0.5914248339091537;3136667254784;28162000000.0;;0.0;;Consumer Electronics
ABBV;2025-03-31;6470000000.0;71309000000.0;0.0716781892888695;335209725952;5175000000.0;;0.0;;Drug Manufacturers - General
ABNB;2025-03-31;2490000000.0;9933000000.0;0.1981391241316822;84552007680;7600000000.0;;0.0;;Travel Services
ABT;2025-03-31;7904000000.0;62053000000.0;0.0764249915394904;232025063424;6532000000.0;;0.0;;Medical Devices
ACGL;2025-03-31;4128000000.0;23443000000.0;0.1592114115087659;33806649344;1187000000.0;;830000000.0;;Insurance - Diversified
ACHC;2025-03-31;374839000.0;5242101000.0;0.054298408794489;2221987584;91236000.0;2502079000.0;0.0;0.7848057591360448;Medical Care Facilities
ACI;2025-02-28;1583300000.0;10778100000.0;0.1247178723522698;12498018304;293600000.0;;0.0;;Grocery Stores
ACM;2025-03-31;1031589000.0;4811966000.0;0.173686985898695;15206677504;1600065000.0;5818368000.0;0.0;25.61499959404578;Engineering & Construction
ACN;2025-05-31;10712866000.0;35705764000.0;0.2308795998797841;188929982464;9631607000.0;15714799000.0;0.0;6.377906093501942;Information Technology Services
ADBE;2025-05-31;8547000000.0;17614000000.0;0.4008064554331781;162146205696;4931000000.0;13363000000.0;0.0;17.659138063167067;Software - Application
ADC;2025-03-31;311165000.0;8419562000.0;0.0362063376776606;7877924864;7915000.0;;175000000.0;;REIT - Retail
ADI;2025-04-30;2318773000.0;42207757000.0;0.0502849432348181;121655197696;2376235000.0;;0.0;;Semiconductors
ADM;2025-03-31;2421000000.0;33184000000.0;0.0572476325337512;26208546816;864000000.0;19192000000.0;0.0;1.7641725105008077;Farm Products
ADP;2025-03-31;5653100000.0;9838500000.0;0.4410664859480612;124577767424;2680600000.0;4989200000.0;0.0;16.544411934288636;Software - Application
ADSK;2025-04-30;1306000000.0;4905000000.0;0.2058471669724771;67373416448;1816000000.0;6463000000.0;0.0;261.1372730542636;Software - Application
ADT;2025-03-31 00:00:00;1262818000.0;11436626000.0;0.0837535087309841;7026683904;3744000.0;11334442000.0;0.0;66.33452820783928;Security & Protection Services
AEE;2025-03-31 00:00:00;1988000000.0;31842000000.0;0.0581720690911374;25755639808;23000000.0;23894000000.0;0.0;3.2311679598544725;Utilities - Regulated Electric
AEP;2025-03-31 00:00:00;4815200000.0;73656600000.0;0.0602171627471265;55534911488;256800000.0;50807100000.0;0.0;2.4034532351782847;Utilities - Regulated Electric
AES;2025-03-31 00:00:00;2065000000.0;34044000000.0;0.0512779218070732;7880987648;1753000000.0;;0.0;;Utilities - Diversified
AFG;2025-03-31 00:00:00;1093000000.0;5868000000.0;0.14633757532379;10497377280;1276000000.0;;0.0;;Insurance - Property & Casualty
AFL;2025-03-31 00:00:00;4592000000.0;33991000000.0;0.1105179069753758;55816187904;5231000000.0;;0.0;;Insurance - Life
AFRM;2025-03-31 00:00:00;360540000.0;10197558000.0;0.027930863447896;21849698304;1351148000.0;;0.0;;Software - Infrastructure
AGCO;2025-03-31 00:00:00;-480000000.0;6749000000.0;-0.0426729885909023;8188491264;562600000.0;;0.0;;Farm & Heavy Construction Machinery
AGNC;2025-03-31 00:00:00;;8470000000.0;;9611979776;455000000.0;;1634000000.0;;REIT - Mortgage
AGO;2025-03-31 00:00:00;663000000.0;7290000000.0;0.0736460218106995;4147360000;177000000.0;;0.0;;Insurance - Specialty
AIG;2025-03-31 00:00:00;4210000000.0;50184000000.0;0.0578476516419575;47950651392;1393000000.0;;0.0;;Insurance - Diversified
AIZ;2025-03-31 00:00:00;925100000.0;7317900000.0;0.1035928949562032;9646619648;1669600000.0;;0.0;;Insurance - Property & Casualty
AJG;2025-03-31 00:00:00;2422300000.0;35407700000.0;0.0542707066767962;80339189760;16691800000.0;15335300000.0;0.0;2.185256030594981;Insurance Brokers
AKAM;2025-03-31 00:00:00;599183000.0;8132275000.0;0.0582951746262884;11477975040;1097026000.0;3550629000.0;0.0;2.021242825787437;Software - Infrastructure
AL;2025-03-31 00:00:00;925306000.0;27756059000.0;0.0266693984744736;6533430784;456623000.0;;9000.0;;Rental & Leasing Services
ALAB;2025-03-31 00:00:00;-21814000.0;1041562000.0;-0.0125661266444052;15221838848;86431000.0;;0.0;;Semiconductors
ALB;2025-03-31 00:00:00;-1438590000.0;11332266000.0;-0.0761678202753094;8262155776;1518511000.0;;2235105000.0;;Specialty Chemicals
ALGM;2025-03-31 00:00:00;-55330000.0;1275681000.0;-0.0368272024040492;6722023424;121334000.0;;0.0;;Semiconductors
ALGN;2025-03-31 00:00:00;652907000.0;3794243000.0;0.1192475296094636;14168603648;873012000.0;;0.0;;Medical Instruments & Supplies
ALK;2025-03-31 00:00:00;657000000.0;8946000000.0;0.0541062927565392;6076933632;1044000000.0;12455000000.0;0.0;-2.465287477484787;Airlines
ALL;2025-03-31 00:00:00;5419000000.0;28140000000.0;0.1534516755508173;51215798272;840000000.0;;2001000000.0;;Insurance - Property & Casualty
ALLE;2025-03-31 00:00:00;824900000.0;3603900000.0;0.1974028571270012;12781761536;494500000.0;;0.0;;Security & Protection Services
ALLY;2025-03-31 00:00:00;;30823000000.0;;12394511360;10409000000.0;;2324000000.0;;Credit Services
ALNY;2025-03-31 00:00:00;-210133000.0;1141001000.0;-0.1397631848701272;41398190080;1019654000.0;;0.0;;Biotechnology
ALSN;2025-03-31 00:00:00;1011000000.0;4065000000.0;0.2025121291512915;7993252864;753000000.0;3225000000.0;0.0;5.017735633396108;Auto Parts
AM;2025-03-31 00:00:00;767169000.0;5199514000.0;0.109072857079527;8472592384;;;0.0;;Oil & Gas Midstream
AMAT;2025-04-30 00:00:00;8557000000.0;25222000000.0;0.2763702011339307;156479078400;6169000000.0;;0.0;;Semiconductor Equipment & Materials
AMCR;2025-03-31 00:00:00;1352000000.0;12648000000.0;0.08614734914611;22500958208;2045000000.0;;0.0;;Packaging & Containers
AMD;2025-03-31 00:00:00;2837000000.0;62045000000.0;0.0364801300024176;223461376000;6049000000.0;;0.0;;Semiconductors
AME;2025-03-31 00:00:00;1811133000.0;11900912000.0;0.1257768957909276;41865289728;399001000.0;3331164000.0;0.0;4.667907389090719;Specialty Industrial Machinery
AMED;2025-03-31 00:00:00;179261000.0;1570152000.0;0.0685007566146462;3205490176;284881000.0;;0.0;;Medical Care Facilities
AMG;2025-03-31 00:00:00;933200000.0;5808900000.0;0.1294366987209282;5739226624;816500000.0;;0.0;;Asset Management
AMGN;2025-03-31 00:00:00;9704000000.0;63588000000.0;0.1361532792350758;159698681856;8810000000.0;;0.0;;Drug Manufacturers - General
AMH;2025-03-31 00:00:00;640960000.0;12080499000.0;0.0318344465737715;14951952384;69698000.0;;92000.0;;REIT - Residential
AMKR;2025-03-31 00:00:00;450138000.0;5305732000.0;0.0700201016862517;5459937792;1057560000.0;;0.0;;Semiconductor Equipment & Materials
AMP;2025-03-31 00:00:00;4062000000.0;11597000000.0;0.2807729216176597;51046035456;7974000000.0;;0.0;;Asset Management
AMT;2025-03-31 00:00:00;4687000000.0;40397100000.0;0.1022617865391327;103318052864;2103700000.0;43802500000.0;0.0;-79.37163160789737;REIT - Specialty
AMTM;2025-03-31 00:00:00;382000000.0;9106000000.0;0.0331407862947507;5888392704;546000000.0;5440000000.0;0.0;1.3980039658119658;Specialty Business Services
AMZN;2025-03-31 00:00:00;79613000000.0;359241000000.0;0.1890761379909308;2328813371392;66207000000.0;;0.0;;Internet Retail
AN;2025-03-31 00:00:00;1337500000.0;11005000000.0;0.091767935029532;7933442048;70500000.0;;0.0;;Auto & Truck Dealerships
ANET;2025-03-31 00:00:00;3143216000.0;10119100000.0;0.2689586604674329;129849565184;1845100000.0;;0.0;;Computer Hardware
ANGI;2025-03-31 00:00:00;57877000.0;1546081000.0;0.029573372934535772;780268608;386564000.0;575784000.0;0.0;0.5750541934656535;Internet Content & Information
ANSS;2025-03-31 00:00:00;787266000.0;6933762000.0;0.09075499314657756;32256415744;1758155000.0;1512753000.0;0.0;4.493060159093733;Software - Application
AON;2025-03-31 00:00:00;4138000000.0;24636000000.0;0.13327917510959572;76565848064;964000000.0;17986000000.0;0.0;10.055929611767796;Insurance Brokers
AOS;2025-03-31 00:00:00;698000000.0;2124900000.0;0.2490088474751753;9728781312;173000000.0;;0.0;;Specialty Industrial Machinery
APA;2025-03-31 00:00:00;2233000000.0;10804000000.0;0.1478378690299889;7397322240;67000000.0;;0.0;;Oil & Gas E&P
APD;2025-03-31 00:00:00;2090200000.0;30561300000.0;0.057094297945440804;65060741120;1491400000.0;;0.0;;Specialty Chemicals
APG;2025-03-31 00:00:00;463000000.0;5736000000.0;0.06189259048117155;14251722752;460000000.0;3938000000.0;0.0;6.311657551815766;Engineering & Construction
APH;2025-03-31 00:00:00;3567500000.0;17468100000.0;0.16240425904935282;117827141632;1657200000.0;;0.0;;Electronic Components
APLS;2025-03-31 00:00:00;-177874000.0;617638000.0;-0.1727944200324462;2248450816;358393000.0;;0.0;;Biotechnology
APO;2025-03-31 00:00:00;6773000000.0;27159000000.0;0.21513146809529068;82872344576;13300000000.0;;1398000000.0;;Asset Management
APP;2025-03-31 00:00:00;2223420000.0;4285385000.0;0.5171028702251956;116658921472;551024000.0;;0.0;;Advertising Agencies
APPF;2025-03-31 00:00:00;135337000.0;462119000.0;0.1757170772030581;8756030464;56933000.0;;0.0;;Software - Application
APTV;2025-03-31 00:00:00;2502000000.0;16848000000.0;0.11354978311965813;15558985728;1100000000.0;8666000000.0;0.0;1.6762535798319327;Auto Parts
AR;2025-03-31 00:00:00;319867000.0;8503754000.0;0.022568879579536284;11371498496;;4155606000.0;0.0;;Oil & Gas E&P
ARE;2025-03-31 00:00:00;526093000.0;30555481000.0;0.010330578661157388;13323611136;476430000.0;14235206000.0;0.0;0.7932276679265368;REIT - Office
ARES;2025-03-31 00:00:00;2107080000.0;15664025000.0;0.11693616201710606;57183805440;1802811000.0;;1459918000.0;;Asset Management
ARMK;2025-03-31 00:00:00;819460000.0;9552951000.0;0.06411009955562422;11208776704;920455000.0;;0.0;;Specialty Business Services
ARW;2025-03-31 00:00:00;733806000.0;8768493000.0;0.06701076383410469;6847368192;231882000.0;;0.0;;Electronics & Computer Distribution
AS;2025-03-31 00:00:00;516200000.0;6146800000.0;0.051213039435153256;20973875200;422100000.0;;0.0;;Leisure
ASH;2025-03-31 00:00:00;-158000000.0;3945000000.0;-0.02403041825095057;2466132224;168000000.0;;0.0;;Specialty Chemicals
ATI;2025-03-31 00:00:00;642900000.0;3766000000.0;0.13557576261285184;12390002688;475800000.0;;0.0;;Metal Fabrication
ATO;2025-03-31 00:00:00;1578965000.0;21644429000.0;0.05955674612136915;24141635584;543504000.0;;0.0;;Utilities - Regulated Gas
ATR;2025-03-31 00:00:00;516536000.0;3544109000.0;0.1143511987153894;10569814016;125839000.0;;0.0;;Medical Instruments & Supplies
AVB;2025-03-31 00:00:00;1377253000.0;20219720000.0;0.06809350280725945;28682881024;53255000.0;;0.0;;REIT - Residential
AVGO;2025-04-30 00:00:00;20766000000.0;136857000000.0;0.11719102742278437;1278403149824;9472000000.0;81018000000.0;0.0;19.574086292110056;Semiconductors
AVT;2025-03-31 00:00:00;596720000.0;7523896000.0;0.07293392842218979;4717811200;188912000.0;;0.0;;Electronics & Computer Distribution
AVTR;2025-03-31 00:00:00;1055700000.0;10204900000.0;0.08618051655577222;9369662464;315700000.0;;0.0;;Medical Instruments & Supplies
AVY;2025-03-31 00:00:00;1065400000.0;5629600000.0;0.13978189558760834;14246721536;195900000.0;;0.0;;Packaging & Containers
AWI;2025-03-31 00:00:00;396900000.0;1313100000.0;0.2316833851953393;7239247360;82800000.0;786300000.0;0.0;11.875405774278216;Building Products & Equipment
AWK;2025-03-31 00:00:00;1930000000.0;24965000000.0;0.05969509713599039;27500593152;114000000.0;;0.0;;Utilities - Regulated Water
AXON;2025-03-31 00:00:00;337162000.0;4562565000.0;0.04433848065726187;61519257600;1092938000.0;2873445000.0;0.0;22.112859473095096;Aerospace & Defense
AXP;2025-03-31 00:00:00;;83997000000.0;;222072700928;52406000000.0;;0.0;;Credit Services
AXS;2025-03-31 00:00:00;1041895000.0;6734734000.0;0.1367088300770305;7736328704;2757213000.0;;550000000.0;;Insurance - Specialty
AXTA;2025-03-31 00:00:00;761000000.0;5494000000.0;0.11037131780123771;6687905792;575000000.0;;0.0;;Specialty Chemicals
AYI;2025-05-31 00:00:00;553500000.0;3580700000.0;0.12051142011338566;9319084032;371800000.0;1245800000.0;0.0;3.4429689407765913;Electrical Equipment & Parts
AZEK;2025-03-31 00:00:00;237449000.0;1886543000.0;0.09775866542824625;7818464768;146719000.0;621913000.0;0.0;5.539710424565434;Building Products & Equipment
AZO;2025-05-31 00:00:00;3722083000.0;4878705000.0;0.6055208756774596;62600134656;268625000.0;;0.0;;Auto Parts
AZTA;2025-03-31 00:00:00;-64802000.0;1701492000.0;-0.030087464413585254;1534084352;253642000.0;154559000.0;0.0;0.8519969187620621;Medical Instruments & Supplies
BA;2025-03-31 00:00:00;-8892000000.0;50287000000.0;-0.17304963326505857;164765401088;10142000000.0;109224000000.0;6000000.0;-3.3762710003483534;Aerospace & Defense
BAC;2025-03-31 00:00:00;;620698000000.0;;355128147968;280861000000.0;;20499000000.0;;Banks - Diversified
BAH;2025-03-31 00:00:00;1409000000.0;5001000000.0;0.21694261147770447;13347501056;885000000.0;;0.0;;Consulting Services
BALL;2025-03-31 00:00:00;933000000.0;12218000000.0;0.0580495067114094;16301080576;449000000.0;;0.0;;Packaging & Containers
BAX;2025-03-31 00:00:00;48000000.0;17155000000.0;0.0022185457301078402;15733945344;2294000000.0;;0.0;;Medical Instruments & Supplies
BBWI;2025-04-30 00:00:00;1357000000.0;2435000000.0;0.4306326648870636;7091117568;636000000.0;;0.0;;Specialty Retail
BBY;2025-04-30 00:00:00;1243000000.0;3926000000.0;0.2340025068772287;15267707904;1147000000.0;;0.0;;Specialty Retail
BC;2025-03-31 00:00:00;272100000.0;4356300000.0;0.04373156621444804;3894368768;286700000.0;;0.0;;Recreational Vehicles
BDX;2025-03-31 00:00:00;2281000000.0;44511000000.0;0.045612671856395046;50050183168;667000000.0;;0.0;;Medical Instruments & Supplies
BEN;2025-03-31 00:00:00;704400000.0;24549600000.0;0.019762256818848373;12875264000;3539100000.0;;0.0;;Asset Management
